Id_number,Task_name,RT,acc
subject131,1B,1.130122067,0.6
subject131,2B-Face,0.856113895,0.76
subject131,2B-Scene,0.676977659,0.754098361
subject131,EasyMath,1.935519324,0.984375
subject131,FingerTap,0.443072614,1.0
subject131,GoNoGo,0.996844245,0.8329831935
subject131,HardMath,2.253790698,0.830188679
subject132,0B,2.496772057,0.7
subject132,1B,1.99920851,0.909090909
subject132,2B-Face,1.039286614,0.804347826
subject132,2B-Scene,0.903561196,0.884615385
subject132,EasyMath,2.101462538,0.98245614
subject132,FingerTap,0.432113227,1.0
subject132,GoNoGo,1.029683543,0.6696428569999999
subject132,HardMath,2.745606187,0.704545455
subject133,0B,0.62834377,1.0
subject133,1B,1.22978986,1.0
subject133,2B-Face,0.967245517,0.816326531
subject133,2B-Scene,0.856522558,0.818181818
subject133,EasyMath,1.867996313,1.0
subject133,FingerTap,0.332782256,1.0
subject133,GoNoGo,1.009750678,0.7828478965
subject133,HardMath,2.060415844,0.925925926
subject134,0B,1.57435564,0.909090909
subject134,1B,1.199797788,1.0
subject134,2B-Face,0.913846956,0.347826087
subject134,2B-Scene,0.805805219,0.673913043
subject134,EasyMath,2.105303479,0.847826087
subject134,FingerTap,0.562401344,0.969230769
subject134,GoNoGo,1.040337684,0.691269841
subject134,HardMath,2.47649621,0.719298246
subject135,0B,0.707975878,1.0
subject135,1B,1.151385267,1.0
subject135,2B-Face,0.973619158,0.9
subject135,2B-Scene,0.919253669,0.829787234
subject135,EasyMath,1.943884225,0.927272727
subject135,FingerTap,0.391263587,1.0
subject135,GoNoGo,1.02564738,0.846153846
subject135,HardMath,2.085686175,0.894736842
subject136,0B,1.643241789,1.0
subject136,1B,1.290855654,1.0
subject136,2B-Face,1.155069204,0.666666667
subject136,2B-Scene,0.823491478,0.901960784
subject136,EasyMath,1.970840574,1.0
subject136,FingerTap,0.319221207,1.0
subject136,GoNoGo,1.024397732,0.7214285715
subject136,HardMath,2.329060985,0.869565217
subject137,0B,0.67048442,0.909090909
subject137,1B,1.089322211,0.818181818
subject137,2B-Face,1.109392743,0.333333333
subject137,2B-Scene,0.940440529,0.615384615
subject137,EasyMath,1.873737731,1.0
subject137,FingerTap,0.267479436,1.0
subject137,GoNoGo,1.057495162,0.5789473679999999
subject137,HardMath,2.238053365,0.981132075
subject138,0B,0.931527377,1.0
subject138,1B,1.40039392,0.625
subject138,2B-Face,0.985348647,0.803571429
subject138,2B-Scene,1.080438807,0.666666667
subject138,EasyMath,1.956619563,1.0
subject138,FingerTap,0.5813804,1.0
subject138,GoNoGo,1.036538305,0.5235849055
subject138,HardMath,2.14707254,0.933333333
subject139,0B,0.786052073,1.0
subject139,1B,1.156324389,1.0
subject139,2B-Face,0.892011532,0.925925926
subject139,2B-Scene,0.977711194,0.890909091
subject139,EasyMath,1.944492854,0.962962963
subject139,FingerTap,0.417574191,1.0
subject139,GoNoGo,1.046606867,0.865740741
subject139,HardMath,2.068367271,0.807692308
subject014,0B,0.767334364,1.0
subject014,1B,1.00346982,1.0
subject014,2B-Face,0.893437642,0.882352941
subject014,2B-Scene,1.109553345,0.674418605
subject014,EasyMath,2.060524152,0.984615385
subject014,FingerTap,0.389821714,1.0
subject014,GoNoGo,1.029520446,0.5205357145
subject014,HardMath,3.527581672,0.694444444
subject140,0B,1.215076347,1.0
subject140,1B,1.543338683,0.857142857
subject140,2B-Face,0.680038151,0.907407407
subject140,2B-Scene,0.793106255,0.644444444
subject140,EasyMath,1.986090178,0.983333333
subject140,FingerTap,0.429237608,1.0
subject140,GoNoGo,1.000978278,0.600564573
subject140,HardMath,2.45050426,0.823529412
subject141,0B,0.593862345,1.0
subject141,1B,0.5481327,0.3
subject141,2B-Face,0.82729763,0.913793103
subject141,2B-Scene,0.922051697,0.975609756
subject141,EasyMath,1.905131315,1.0
subject141,FingerTap,0.367869104,1.0
subject141,GoNoGo,1.037061928,0.9164215689999999
subject141,HardMath,1.931079112,0.879310345
subject142,0B,0.683965091,1.0
subject142,1B,1.362763636,1.0
subject142,2B-Face,1.049098455,0.862745098
subject142,2B-Scene,1.1656054,0.795454545
subject142,EasyMath,2.02688463,0.95
subject142,FingerTap,0.444390767,1.0
subject142,GoNoGo,1.025489952,0.9036842105
subject142,HardMath,3.070620824,0.68
subject143,0B,0.561068955,1.0
subject143,1B,1.02072543,0.909090909
subject143,2B-Face,0.862450876,0.836734694
subject143,2B-Scene,0.926782613,0.738095238
subject143,EasyMath,1.916053826,1.0
subject143,FingerTap,0.351896441,1.0
subject143,GoNoGo,1.033602181,0.8186813184999999
subject143,HardMath,2.519675121,0.895833333
subject144,0B,0.60021695,1.0
subject144,1B,1.127091625,1.0
subject144,2B-Face,1.014335179,0.84
subject144,2B-Scene,1.087315773,0.836734694
subject144,EasyMath,2.025520572,1.0
subject144,FingerTap,0.45409055,1.0
subject144,GoNoGo,1.035616322,0.9045209175
subject144,HardMath,2.906501891,0.921052632
subject145,0B,1.689487617,0.75
subject145,1B,1.38193587,0.833333333
subject145,2B-Face,1.180837831,0.590909091
subject145,2B-Scene,1.05978327,0.903846154
subject145,EasyMath,2.023744195,0.965517241
subject145,FingerTap,0.473515833,1.0
subject145,GoNoGo,1.027036756,0.850496278
subject145,HardMath,2.586218625,0.64
subject146,0B,0.779740209,1.0
subject146,1B,1.182362189,0.9
subject146,2B-Face,1.0000041,0.808510638
subject146,2B-Scene,0.981403347,0.80952381
subject146,EasyMath,1.974436986,0.983333333
subject146,FingerTap,0.35703839,1.0
subject146,GoNoGo,1.061207823,0.724137931
subject146,HardMath,2.825533641,0.658536585
subject147,0B,2.057870822,0.818181818
subject147,1B,1.76785973,1.0
subject147,2B-Face,1.133923955,0.630434783
subject147,2B-Scene,0.906335215,0.941176471
subject147,EasyMath,2.036745895,1.0
subject147,FingerTap,0.394620166,1.0
subject147,GoNoGo,1.049245933,0.5647522524999999
subject147,HardMath,2.606331338,0.882352941
subject148,0B,0.836181218,1.0
subject148,1B,1.802434511,1.0
subject148,2B-Face,0.899155917,0.823529412
subject148,2B-Scene,0.764914149,0.898305085
subject148,EasyMath,1.893100569,1.0
subject148,FingerTap,0.46559516,1.0
subject148,GoNoGo,1.036976779,0.699949187
subject148,HardMath,2.397376021,0.755555556
subject149,0B,0.616093233,1.0
subject149,1B,0.78784788,0.909090909
subject149,2B-Face,1.30695446,0.27027027
subject149,2B-Scene,0.968020976,0.791666667
subject149,EasyMath,1.970886012,0.962962963
subject149,FingerTap,0.33003294,1.0
subject149,GoNoGo,1.036386957,0.7633402635
subject149,HardMath,3.021364412,0.913043478
subject015,0B,0.673880069,1.0
subject015,1B,1.14769,0.8
subject015,2B-Face,1.056365262,0.787234043
subject015,2B-Scene,1.170221848,0.62
subject015,EasyMath,1.907161513,1.0
subject015,FingerTap,0.294510994,1.0
subject015,GoNoGo,1.04419441,0.6472477065
subject015,HardMath,2.696262617,0.909090909
subject150,0B,0.940707877,0.866666667
subject150,1B,1.643868143,0.636363636
subject150,2B-Face,0.883693455,0.839285714
subject150,2B-Scene,0.821044336,0.893617021
subject150,EasyMath,2.013940659,0.964285714
subject150,FingerTap,0.569175115,0.8
subject150,GoNoGo,0.98430746,0.7541846004999999
subject150,HardMath,2.3346491,0.755102041
subject151,0B,0.866195912,0.727272727
subject151,1B,0.86233811,0.909090909
subject151,2B-Face,0.564554288,0.781818182
subject151,2B-Scene,0.768554298,0.903225806
subject151,EasyMath,2.1604095,0.536585366
subject151,FingerTap,0.379076927,1.0
subject151,GoNoGo,1.037396484,0.6659663865000001
subject151,HardMath,2.889647429,0.485714286
subject152,0B,0.770640036,0.916666667
subject152,1B,0.850312056,1.0
subject152,2B-Face,1.257572173,0.75
subject152,2B-Scene,0.866674503,0.886363636
subject152,EasyMath,1.911271026,1.0
subject152,FingerTap,0.374404163,1.0
subject152,GoNoGo,0.988556106,0.873263889
subject152,HardMath,2.187845532,0.87037037
subject153,0B,0.665222292,1.0
subject153,1B,1.770417782,1.0
subject153,2B-Face,1.167967137,0.177777778
subject153,2B-Scene,0.947357071,0.79245283
subject153,EasyMath,1.977639589,0.947368421
subject153,FingerTap,0.352188237,1.0
subject153,GoNoGo,1.028257879,0.587777778
subject153,HardMath,2.36788703,0.826923077
subject154,0B,0.638024057,0.875
subject154,1B,1.09003034,0.909090909
subject154,2B-Face,0.68367356,0.113636364
subject154,2B-Scene,0.51846154,0.128205128
subject154,EasyMath,1.941782858,0.967741935
subject154,FingerTap,0.348867417,1.0
subject154,GoNoGo,1.025516415,0.847946726
subject154,HardMath,2.04648039,0.890909091
subject155,0B,1.962306733,0.214285714
subject155,1B,1.98054215,0.222222222
subject155,2B-Face,0.897468844,0.695652174
subject155,2B-Scene,1.12823379,0.8
subject155,EasyMath,2.9171675,0.071428571
subject155,FingerTap,0.860962838,1.0
subject155,GoNoGo,1.048606824,0.8238831615
subject155,HardMath,2.298703926,0.563636364
subject156,0B,0.64599457,1.0
subject156,1B,1.135273992,1.0
subject156,2B-Face,1.087400058,0.849056604
subject156,2B-Scene,1.127555717,0.875
subject156,EasyMath,1.880868134,1.0
subject156,FingerTap,0.343450514,1.0
subject156,GoNoGo,0.9957015,0.94348659
subject156,HardMath,2.359890839,0.960784314
subject157,0B,1.010221178,0.9
subject157,1B,0.756303391,1.0
subject157,2B-Face,0.83757866,0.789473684
subject157,2B-Scene,0.650447916,0.762711864
subject157,EasyMath,1.910890777,0.955223881
subject157,FingerTap,0.342921161,1.0
subject157,GoNoGo,1.017858713,0.8394276629999999
subject157,HardMath,2.016897444,0.923076923
subject158,0B,1.118334286,0.7
subject158,1B,0.798731833,0.9
subject158,2B-Face,0.664074544,0.642857143
subject158,2B-Scene,0.58455778,0.818181818
subject158,EasyMath,1.937581655,0.94
subject158,FingerTap,0.360082269,1.0
subject158,GoNoGo,0.952519114,0.6495956869999999
subject158,HardMath,2.581418209,0.739130435
subject159,0B,0.806024,1.0
subject159,1B,0.6445712,0.666666667
subject159,2B-Face,0.973147016,0.756097561
subject159,2B-Scene,0.771000994,0.705882353
subject159,EasyMath,2.142214504,0.886792453
subject159,FingerTap,0.39710191,1.0
subject159,GoNoGo,1.033964938,0.6404411765
subject159,HardMath,2.14490888,0.836734694
subject016,0B,0.867747809,1.0
subject016,1B,0.746321955,1.0
subject016,2B-Face,0.628014347,0.903846154
subject016,2B-Scene,0.659517004,0.851851852
subject016,EasyMath,1.904688369,0.979591837
subject016,FingerTap,0.368999137,1.0
subject016,GoNoGo,1.009026717,0.8845360825
subject016,HardMath,2.06116884,0.981132075
subject160,0B,0.7849687,1.0
subject160,1B,0.897347509,1.0
subject160,2B-Face,0.835990514,0.933333333
subject160,2B-Scene,0.839719227,0.912280702
subject160,EasyMath,1.9290082,0.960784314
subject160,FingerTap,0.420860606,1.0
subject160,GoNoGo,1.006988465,0.707850708
subject160,HardMath,2.106636194,0.943396226
subject161,0B,0.849503571,1.0
subject161,1B,0.727642408,1.0
subject161,2B-Face,0.854907109,0.839285714
subject161,2B-Scene,0.983988558,0.912280702
subject161,EasyMath,2.008467573,0.944444444
subject161,FingerTap,0.336089375,1.0
subject161,GoNoGo,1.022484434,0.7845528454999999
subject161,HardMath,2.765039992,0.822222222
subject162,0B,1.179996023,0.928571429
subject162,1B,1.435776078,0.9
subject162,2B-Face,1.065454062,0.711111111
subject162,2B-Scene,0.723183787,0.903846154
subject162,EasyMath,1.881419519,1.0
subject162,FingerTap,0.418023172,1.0
subject162,GoNoGo,1.09163325,0.5
subject162,HardMath,2.154186337,0.895833333
subject163,0B,1.66152455,0.8
subject163,1B,1.358591983,0.545454545
subject163,2B-Face,0.844485247,0.64
subject163,2B-Scene,0.843923248,0.84
subject163,EasyMath,2.01934958,0.75
subject163,FingerTap,0.792504375,1.0
subject163,GoNoGo,1.045889588,0.43563685650000006
subject163,HardMath,2.67148745,0.47826087
subject164,0B,0.543634064,1.0
subject164,1B,0.74452159,1.0
subject164,2B-Face,0.734254777,0.888888889
subject164,2B-Scene,0.653445946,0.867924528
subject164,EasyMath,1.860288712,1.0
subject164,FingerTap,0.391918961,1.0
subject164,GoNoGo,1.031804298,0.963963964
subject164,HardMath,2.090052821,0.813559322
subject165,0B,0.63675832,0.909090909
subject165,1B,1.14701238,0.909090909
subject165,2B-Face,0.745346615,0.872727273
subject165,2B-Scene,0.722062378,0.964285714
subject165,EasyMath,1.855880308,0.981481481
subject165,FingerTap,0.369193917,1.0
subject165,GoNoGo,0.999110209,0.8053325689999999
subject165,HardMath,2.65689733,0.959183673
subject166,0B,0.9002252,1.0
subject166,1B,1.17802928,0.909090909
subject166,2B-Face,1.002378111,0.770833333
